IFNK_HUMAN	IFNK
GALR1_HUMAN	GALR1
AMRA1_HUMAN	AMBRA1
CLM1_HUMAN	CD300LF
SRC8_HUMAN	CTTN
SOX7_HUMAN	SOX7
VA0D2_HUMAN	ATP6V0D2
BLID_HUMAN	BLID
RAB3A_HUMAN	RAB3A
FZD7_HUMAN	FZD7
MXI1_HUMAN	MXI1
PCDH7_HUMAN	PCDH7
NR1H3_HUMAN	NR1H3
IF2B3_HUMAN	IGF2BP3
PA2GA_HUMAN	PLA2G2A
CPT1B_HUMAN	CPT1B
ICA1L_HUMAN	ICA1L
TMM43_HUMAN	TMEM43
OST4_HUMAN	OST4
CLCN5_HUMAN	CLCN5
GPX4_HUMAN	GPX4
JAM2_HUMAN	JAM2
RHOA_HUMAN	RHOA
RN183_HUMAN	RNF183
IN80B_HUMAN	INO80B
ATG2A_HUMAN	ATG2A
NDUAA_HUMAN	NDUFA10
ARFG3_HUMAN	ARFGAP3
ERP27_HUMAN	ERP27
MK01_HUMAN	MAPK1
AAKG1_HUMAN	PRKAG1
CP27B_HUMAN	CYP27B1
ATP5I_HUMAN	ATP5ME
AAKB2_HUMAN	PRKAB2
LSM10_HUMAN	LSM10
WDR33_HUMAN	WDR33
XRP2_HUMAN	RP2
TPC6B_HUMAN	TRAPPC6B
CASP5_HUMAN	CASP5
MYH2_HUMAN	MYH2
TAF2_HUMAN	TAF2
IRAK2_HUMAN	IRAK2
ZNF83_HUMAN	ZNF83
CENPQ_HUMAN	CENPQ
GATA4_HUMAN	GATA4
ENTP3_HUMAN	ENTPD3
KANL1_HUMAN	KANSL1
BAHD1_HUMAN	BAHD1
HORN_HUMAN	HRNR
NUCG_HUMAN	ENDOG
KRR1_HUMAN	KRR1
PLAK_HUMAN	JUP
ANPRC_HUMAN	NPR3
DTL_HUMAN	DTL
IASPP_HUMAN	PPP1R13L
MTMR1_HUMAN	MTMR1
HACL1_HUMAN	HACL1
I17RB_HUMAN	IL17RB
GDN_HUMAN	SERPINE2
CD3D_HUMAN	CD3D
DMRTD_HUMAN	DMRTC2
TPIS_HUMAN	TPI1
ISK1_HUMAN	SPINK1
CADH5_HUMAN	CDH5
GBRG3_HUMAN	GABRG3
GMCL1_HUMAN	GMCL1
HERC4_HUMAN	HERC4
SURF2_HUMAN	SURF2
PHIPL_HUMAN	PHYHIPL
TIM44_HUMAN	TIMM44
LTOR4_HUMAN	LAMTOR4
